"id";"time";"label";"video_id";"playlist_id";"created_at";"updated_at"
"1";"532,31";"composer create-project --prefer-dist laravel/laravel hdcevents";"57";"51";"2022-11-17 01:11:34";"2022-11-17 01:11:34"
"2";"581,09";"php artisan serve";"57";"51";"2022-11-17 01:11:57";"2022-11-17 01:11:57"
"3";"292,65";"Route::get('/', function ()";"58";"51";"2022-11-17 01:13:44";"2022-11-17 01:13:44"
"4";"324,63";"Rota contact";"58";"51";"2022-11-17 01:14:06";"2022-11-17 01:14:06"
"5";"449,86";"Rota produtos";"58";"51";"2022-11-17 01:14:25";"2022-11-17 01:14:25"
"6";"218,33";"if";"59";"51";"2022-11-17 01:14:52";"2022-11-17 01:14:52"
"7";"332,31";"{{ }}";"59";"51";"2022-11-17 01:15:14";"2022-11-17 01:15:14"
"8";"523,26";"retorno array fixo";"59";"51";"2022-11-17 01:16:04";"2022-11-17 01:16:04"
"9";"26,95";"fasdfa";"4";"1";"2022-11-19 12:46:34";"2022-11-19 12:46:34"
"10";"113,68";"Instalação";"3";"1";"2022-11-19 12:49:26";"2022-11-19 12:49:26"
"11";"81,16";"Enter name";"5";"1";"2022-11-19 14:10:01";"2022-11-19 14:10:01"
"12";"247,50";"vcredis";"3";"1";"2022-11-19 14:42:08";"2022-11-19 14:42:08"
"13";"18,48";"steste";"2";"1";"2022-11-19 22:08:11";"2022-11-19 22:08:11"
"14";"0,00";"afsdaasd";"2";"1";"2022-11-19 23:42:07";"2022-11-19 23:42:07"
"15";"93,48";"asdfs";"1";"1";"2022-11-19 23:43:40";"2022-11-19 23:43:40"
