"id";"playlist_id";"topic_name";"_lft";"_rgt";"parent_id";"created_at";"updated_at";"position"
"406";"206";"Dicas para fazer molde de Vacuum Forming na impressora 3d";"811";"812";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"407";"206";"Mayku FormBox - a desktop vacuum former that puts the power of making in your hands";"813";"814";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"408";"206";"ANET A8 Plus Assembly Guide, Setup, Review, Easy Upgrades (STLs Included). Is This Printer Worth It?";"815";"824";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"409";"206";"Montagem Impressora 3d AnetA8 Plus pt.1 ( Base da impressora )";"825";"828";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"410";"206";"Montagem Impressora 3d AnetA8 Plus pt.4 (Ligações elétricas e display LCD )";"829";"830";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"411";"206";"Montagem Impressora 3d AnetA8 Plus pt.5 ( Nivelando a cama )";"831";"836";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"412";"206";"Montagem Impressora 3d AnetA8 Plus pt.2 ( Cama de impressão )";"837";"840";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"413";"206";"Montagem Impressora 3d AnetA8 Plus pt.6 ( Primeira peça )";"841";"844";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"414";"206";"Montagem Impressora 3d AnetA8 Plus pt.3 (Eixo X, Eixo Z, HotEnd )";"845";"846";\N;"2022-10-15 17:12:54";"2022-10-15 17:12:54";"0,00"
"801";"206";"sfasdf";"838";"839";"412";"2022-11-13 01:30:33";"2022-11-13 01:30:35";"3,77"
"802";"206";"fasdasd";"832";"833";"411";"2022-11-13 01:32:26";"2022-11-13 01:38:32";"1,27"
"803";"206";"Enter name";"834";"835";"411";"2022-11-13 01:41:14";"2022-11-13 01:41:18";"1,27"
"804";"206";"Enter name";"842";"843";"413";"2022-11-13 01:42:11";"2022-11-13 01:42:11";"1,63"
"805";"206";"Regua";"826";"827";"409";"2022-11-14 23:57:03";"2022-11-14 23:57:03";"206,18"
"806";"206";"Corte do Hotend";"816";"817";"408";"2022-11-15 00:02:12";"2022-11-15 00:02:12";"1109,37"
"807";"206";"Montando a Fonte";"818";"819";"408";"2022-11-15 00:08:45";"2022-11-15 00:08:45";"1735,27"
"808";"206";"Montando o modulo";"820";"821";"408";"2022-11-15 00:09:35";"2022-11-15 00:09:35";"1979,27"
"809";"206";"Ajustando a mesa";"822";"823";"408";"2022-11-15 00:11:05";"2022-11-15 00:11:05";"2566,27"
